AMPS,VOLTS,TEMP,DELTA,GAMMA,OUTPUT,MODE_REDACTED,MODE_auto,MODE_beam,MODE_burst,POWER_high,POWER_low
0.361,0.724,-2.505,-0.066,0.322,1.879,0.0,1.0,0.0,0.0,0.0,1.0
0.277,2.425,91.047,0.598,-1.739,2.457,0.0,0.0,1.0,0.0,0.0,1.0
0.875,2.866,16.64,-0.812,-0.715,1.215,0.0,0.0,1.0,0.0,0.0,1.0
0.561,2.858,-58.454999999999984,-0.493,0.895,2.134,0.0,1.0,0.0,0.0,0.0,1.0
0.167,1.503,-74.49699999999999,-0.649,-0.653,-5.791,0.0,1.0,0.0,0.0,1.0,0.0
0.828,1.207,-78.99699999999999,-0.001,-1.08,-6.276,0.0,0.0,1.0,0.0,0.0,1.0
0.532,5.747,13.237,0.491,-0.639,-0.313,0.0,0.0,0.0,1.0,0.0,1.0
0.74,1.164,-7.703999999999951,0.756,1.047,1.979,1.0,0.0,0.0,0.0,1.0,0.0
0.484,3.66,-31.111,-0.598,-1.022,-0.361,0.0,0.0,0.0,1.0,0.0,1.0
0.165,1.12,37.958,-0.039,1.076,-0.099,0.0,0.0,0.0,1.0,0.0,1.0
0.342,0.432,61.997,-0.096,-0.711,1.827,0.0,1.0,0.0,0.0,0.0,1.0
0.144,1.12,-65.43799999999999,-0.248,-0.515,2.129,0.0,1.0,0.0,0.0,0.0,1.0
0.566,3.158,33.20700000000005,0.257,-0.335,0.01,0.0,0.0,0.0,1.0,0.0,1.0
0.721,0.858,-30.441,-0.063,0.213,2.571,1.0,0.0,0.0,0.0,1.0,0.0
0.198,3.382,16.168000000000006,-0.339,-0.017,2.44,0.0,1.0,0.0,0.0,0.0,1.0
0.35,4.257,1.43100000000004,0.991,-0.335,2.466,0.0,1.0,0.0,0.0,0.0,1.0
0.449,1.259,-54.83,-0.101,-1.24,-2.305,0.0,0.0,1.0,0.0,0.0,1.0
0.257,3.278,-77.028,-0.052,-0.161,-0.285,1.0,0.0,0.0,0.0,0.0,1.0
0.886,2.693,-72.947,-0.687,-0.778,-3.052,1.0,0.0,0.0,0.0,0.0,1.0
0.208,4.325,-0.5569999999999595,-0.61,0.651,-0.065,0.0,0.0,1.0,0.0,0.0,1.0
0.641,1.766,65.757,0.61,0.845,4.06,1.0,0.0,0.0,0.0,1.0,0.0
0.749,6.675,-38.44199999999998,-0.671,0.53,2.55,0.0,1.0,0.0,0.0,0.0,1.0
0.935,0.025,50.521,-0.336,-0.323,-4.707,0.0,1.0,0.0,0.0,1.0,0.0
0.608,0.25,-6.002,-0.729,-1.23,-0.325,0.0,0.0,1.0,0.0,0.0,1.0
0.528,0.829,-68.46999999999997,-0.342,-1.143,-1.407,1.0,0.0,0.0,0.0,0.0,1.0
0.834,4.651,12.506,-0.135,-0.287,-0.006,0.0,0.0,0.0,1.0,0.0,1.0
0.983,1.604,-100.0,0.437,0.037,-5.073,0.0,1.0,0.0,0.0,1.0,0.0
0.396,4.669,-4.651,-0.16,0.481,0.034,1.0,0.0,0.0,0.0,0.0,1.0
0.539,0.999,-84.269,-0.572,0.018,-5.361,0.0,1.0,0.0,0.0,1.0,0.0
0.413,2.968,-21.678,0.423,1.074,2.173,0.0,1.0,0.0,0.0,0.0,1.0
0.084,2.057,-31.053999999999974,-0.581,-0.818,-6.122,0.0,1.0,0.0,0.0,1.0,0.0
0.166,0.357,28.73,0.833,0.128,1.663,0.0,1.0,0.0,0.0,0.0,1.0
0.622,2.262,54.92900000000003,0.358,-1.38,4.373,0.0,0.0,0.0,1.0,1.0,0.0
0.708,0.852,6.328,-0.973,0.294,0.382,1.0,0.0,0.0,0.0,0.0,1.0
0.802,0.566,2.13900000000001,-0.124,-0.22,-0.035,0.0,0.0,1.0,0.0,1.0,0.0
0.427,1.117,-57.522,0.646,-0.047,-5.613,0.0,1.0,0.0,0.0,1.0,0.0
0.268,0.428,19.308,0.262,-0.41,2.314,0.0,1.0,0.0,0.0,0.0,1.0
0.244,2.778,-6.530999999999949,-0.944,0.895,-0.063,1.0,0.0,0.0,0.0,0.0,1.0
